company_id,name,search_rating,overall_rating,복지/급여,워라밸,사내문화,승진 기회,경영진,기업 추천율,CEO 지지율,성장 가능성,검색기업명
158728,성도엔지니어링(주),5.0,5.0,3.0,4.0,2.0,4.0,3.0,100%,100%,0%,성도엔지니어링
95657,피브이에이치코리아(유),3.3,3.3,3.3,3.1,2.9,2.5,2.7,65%,59%,18%,피브이에이치코리아
353462,(주)리드스피커코리아,4.0,4.0,4.0,4.0,3.0,4.0,3.0,100%,50%,50%,리드스피커코리아
144544,선진물류(주),5.0,5.0,5.0,3.0,3.0,5.0,3.0,100%,100%,100%,선진물류
393648,(주)진모빌리티,1.6,1.6,1.7,2.6,1.5,1.8,1.3,3%,24%,10%,진모빌리티
2669,한미약품(주),3.0,3.0,3.1,2.6,2.7,2.8,2.4,43%,45%,33%,품
331115,(주)세명이엔지,3.5,3.5,4.0,2.5,3.0,3.0,2.5,50%,50%,0%,세명이엔지
388383,(주)티와이엠,2.6,2.6,3.0,2.6,2.1,2.4,1.8,32%,27%,17%,티와이엠
246787,에스제이에프(주),2.5,2.5,2.5,2.3,2.5,2.3,2.2,18%,35%,11%,성진
259007,엘에이치종합건설(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,엘에이치종합건설
239896,영도금속상사(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,영도금속
247089,한비이일(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,한비이일
39583,대영테크,5.0,5.0,4.0,3.0,3.0,5.0,5.0,100%,100%,0%,대영테크
82749,(주)다원시스,2.4,2.4,2.5,2.0,2.3,2.7,1.9,22%,46%,24%,다원
194866,케이에이치리텍(주),1.0,1.0,1.0,3.0,3.0,1.0,1.0,0%,100%,0%,케이에이치리텍
73311,새로닉스(주),2.4,2.4,2.2,3.5,2.4,2.3,2.3,29%,48%,19%,새로닉스
323377,금천구가족센터,1.3,1.3,1.4,1.2,1.6,2.3,1.2,3%,8%,2%,금천
97868,디엘팜(주),1.0,1.0,1.0,1.5,1.3,1.0,1.0,0%,0%,0%,디엘팜
2946,한국품질경영연구원,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,한국품질경영연구원
296739,윈플라텍(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,윈플라텍
324762,(주)포미비앤엠,3.2,3.2,2.5,3.5,3.2,2.8,2.5,36%,64%,27%,포미비앤엠
340835,세무법인경원,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0%,0%,0%,세무법인경원
128115,호국산업(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,호국산업
18378,영전엔지니어링(주),2.7,2.7,2.2,3.4,2.4,2.8,2.0,25%,60%,5%,전엔지니어링
102168,동우플라스틱(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,동우플라스틱
345402,(주)아스테라시스,2.9,2.9,2.8,4.0,2.3,3.1,2.9,62%,62%,38%,테라시스
122968,금수강산고속관광(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,금수강산고속관광
344822,(주)진심코리아,3.1,3.1,2.7,3.1,3.1,3.0,2.8,21%,42%,17%,진심코리아
12225,전북제일학사(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,전북제일학사
139899,신원건설(주),3.0,3.0,2.5,3.0,2.0,2.5,2.5,0%,50%,0%,신원건설
150572,금용건설(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,금용건설
392618,조은날인테리어디자인,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0%,0%,50%,조은날
227994,티피엠에스(주),1.4,1.4,1.2,2.0,1.6,1.6,1.8,0%,40%,20%,티피엠에스
177331,중부토건(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,중부토건
253444,대덕폐차사업소(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,대덕폐차사업소
61002,월급날(주),2.8,2.8,2.3,2.9,2.7,2.5,2.5,38%,50%,16%,월급날
467730,사회복지법인 장산복지,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0%,0%,0%,사회복지법인장산
64399,엔씨텍크놀로지,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,엔씨텍크놀로지
162055,평산종합건설(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,평산종합건설
156142,대명제분(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,대명제분
94121,한국온실작물연구소,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,한국온실작물연구소
245530,제이앤원키친(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,제이앤원키친
325957,(주)한아름닷컴,2.6,2.6,2.5,3.5,2.5,2.6,2.3,50%,38%,0%,한아름
283240,영남정보통신(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,영남정보통신
94278,와이즈웨딩(주),3.4,3.4,2.8,3.3,3.6,2.9,3.7,55%,88%,38%,와이즈웨딩
425910,(주)와이엠디,5.0,5.0,5.0,5.0,5.0,5.0,5.0,100%,100%,100%,와이엠디
309866,브레이브엔터테인먼트(주),2.1,2.1,1.5,1.6,2.2,2.4,1.5,14%,15%,5%,브레이브엔터테인먼트
329613,서울시립은평노인종합복지관,3.0,3.0,2.3,2.2,2.7,2.1,2.1,40%,40%,10%,서울시립은평노인종합복지관
241422,동성이앤지(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,동성이앤지
96933,에이엔이광개토(주),1.7,1.7,1.4,1.6,1.7,2.5,1.7,8%,8%,3%,광개토
131707,온푸른(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,온푸른
359877,(주)마이팝,4.0,4.0,2.5,3.0,4.0,3.5,3.5,100%,100%,50%,마이팝
330789,(주)다인엔시스,1.8,1.8,1.4,3.4,2.2,1.6,1.8,20%,40%,20%,다인엔시스
413121,유엔약품(주),5.0,5.0,5.0,5.0,5.0,5.0,5.0,100%,100%,100%,유엔약품
35065,(주)에이치엘클레무브,3.2,3.2,3.6,3.1,2.9,2.6,2.3,48%,33%,23%,무브
276322,건양종합건설(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,건양종합건설
362774,(주)에스월드쥬얼리,1.3,1.3,1.1,1.8,1.3,1.2,1.1,0%,0%,0%,에스월드
406198,(주)태현에스디,2.1,2.1,2.1,2.0,2.0,2.6,1.7,43%,14%,14%,태현에스디
50090,포앤비(주),2.3,2.3,2.1,2.4,2.4,2.4,2.0,38%,38%,13%,포앤비
40949,다원텍,3.0,3.0,4.0,5.0,4.0,3.0,1.0,0%,0%,0%,다원텍
57314,자유투어(주),2.2,2.2,1.9,2.6,2.4,2.5,2.0,12%,23%,7%,유투
119001,승환종합건설(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,승환종합건설
251355,용민건설(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,용민건설
339903,(주)동일스위트,1.5,1.5,1.0,2.0,2.0,1.5,1.0,0%,0%,0%,동일스위트
271179,태림종합건설(주),2.0,2.0,1.8,2.3,1.8,2.0,1.8,25%,25%,0%,태림종합건설
269622,(주)지에스씨넷,2.7,2.7,2.2,3.0,2.5,2.8,2.5,35%,52%,21%,지에스씨
138015,씨에스건설(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,씨에스건설
213545,미래건설산업(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,미래건설산업
299176,코스코엠알오(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,코스코엠알오
345386,디앤에이모터스(주),2.2,2.2,2.2,2.5,1.8,2.0,1.9,11%,33%,4%,대림오토
120077,로보웰(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,로보웰
63802,엘투케이알,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0%,50%,0%,엘투케이알
101183,세화프라스틱산업(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,세화프라스틱
129338,모던테크(주),3.0,3.0,2.0,3.0,3.0,3.0,1.0,50%,50%,50%,모던테크
342151,틱톡,2.6,2.6,2.4,2.5,2.6,2.4,2.2,41%,43%,33%,댄
260944,(주)파이닉스알엔디,2.3,2.3,2.3,2.9,2.2,2.2,2.1,21%,35%,10%,알엔디
17167,페어뷰디벨롭먼트(주),3.0,3.0,4.0,4.0,2.0,2.0,1.0,0%,0%,0%,페어뷰디벨롭먼트
112275,짚트랙코리아(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,짚트랙코리아
14739,유티모스트아이엔에스(주),2.4,2.4,2.0,2.4,2.5,2.3,2.0,15%,18%,5%,유티모스트아이엔에스
139083,세기에너지(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,세기에너지
385074,(주)세한이엔지,2.0,2.0,1.0,2.0,2.0,1.5,1.0,0%,0%,0%,세한이엔지
222958,신성석건(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,신성석건
404119,(주)뉴로벤티,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,뉴로벤티
114620,호반영농조합법인,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,호반영농조합법인
388368,(주)강한손,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,강한손
73411,상봉정밀,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0%,0%,0%,상봉정밀
415541,주원종합건설(주),5.0,5.0,2.0,2.0,2.0,2.0,3.0,0%,100%,0%,주원종합건설
157245,태일이엔씨(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,태일이엔씨
94863,씨제이올리브네트웍스(주),3.0,3.0,3.2,2.9,3.0,2.9,2.6,45%,56%,25%,캐스
387920,농업회사법인과일드림(주),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0%,0%,0%,과일드림
60743,(주)스퀘어베이스,3.3,3.3,2.7,3.1,3.1,2.9,2.6,29%,29%,14%,스퀘어베이스
273595,서경전기(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,서경전기
131732,써키트솔루션(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,키트솔루션
289027,국제여객(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,국제여객
444554,(주)영진포장,3.0,3.0,3.0,2.0,1.0,1.0,1.0,0%,100%,0%,영진포장
202132,한라프랜트(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,한라프랜트
350902,쉐라톤 서울 팔래스 강남 호텔,2.3,2.3,1.6,2.4,2.4,2.1,1.9,8%,17%,0%,남호
446364,(주)에스티에스시스템,4.0,4.0,4.0,5.0,4.0,4.0,4.0,100%,100%,0%,에스티에스시스템
271947,유덕농산(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,유덕농산
186203,태종종합건설(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,태종종합건설
455548,(주)에스엠코퍼레이션,3.0,3.0,2.0,4.0,4.0,2.0,2.0,100%,100%,0%,에스엠코퍼레이션
